ts,container,cpu_pct,mem_used_mb,mem_limit_mb,mem_pct,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
2026-08-20T22:51:29Z,celmis-web,0.01,83.25,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:51:29Z,celmis-sandbox,0.01,43.12,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:51:29Z,celmis-qdrant,0.07,246.5,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:51:35Z,celmis-api,1.53,279.7,6928.38,4.04,32.8,7.87,26.3,29.5,23
2026-08-20T22:51:35Z,celmis-postgres,0.33,31.47,6928.38,0.45,6.18,5.61,5.05,32.5,11
2026-08-20T22:51:35Z,celmis-web,0.00,83.31,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:51:35Z,celmis-sandbox,0.05,43.12,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:51:35Z,celmis-qdrant,0.09,246.7,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:51:41Z,celmis-api,20.64,281.8,6928.38,4.07,43.4,8.03,26.3,29.5,24
2026-08-20T22:51:41Z,celmis-postgres,0.03,31.73,6928.38,0.46,6.18,5.61,5.05,32.5,11
2026-08-20T22:51:41Z,celmis-web,0.00,83.31,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:51:41Z,celmis-sandbox,0.03,43.05,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:51:41Z,celmis-qdrant,0.08,246.7,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:51:46Z,celmis-api,17.09,282.7,6928.38,4.08,53.4,8.15,26.3,29.5,24
2026-08-20T22:51:46Z,celmis-postgres,0.01,31.85,6928.38,0.46,6.18,5.61,5.05,32.5,11
2026-08-20T22:51:46Z,celmis-web,2.45,83.38,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:51:46Z,celmis-sandbox,0.02,43.05,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:51:46Z,celmis-qdrant,1.45,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T22:51:51Z,celmis-api,18.10,283.4,6928.38,4.09,67.9,8.34,26.3,29.5,24
2026-08-20T22:51:51Z,celmis-postgres,0.02,31.44,6928.38,0.45,6.19,5.62,5.05,32.5,11
2026-08-20T22:51:51Z,celmis-web,0.03,83.35,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:51:51Z,celmis-sandbox,0.02,43.05,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:51:51Z,celmis-qdrant,0.15,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T22:51:57Z,celmis-api,100.26,395.4,6928.38,5.71,69.2,8.36,26.6,70.9,16
2026-08-20T22:51:57Z,celmis-postgres,0.00,31.56,6928.38,0.46,6.19,5.62,5.05,32.5,11
2026-08-20T22:51:57Z,celmis-web,0.00,83.35,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:51:57Z,celmis-sandbox,0.01,43.05,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:51:57Z,celmis-qdrant,0.02,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T22:52:03Z,celmis-api,99.97,468.7,6928.38,6.76,69.2,8.37,26.6,72.7,16
2026-08-20T22:52:03Z,celmis-postgres,0.25,33.38,6928.38,0.48,6.2,5.63,5.05,32.5,12
2026-08-20T22:52:03Z,celmis-web,0.00,83.38,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:52:03Z,celmis-sandbox,0.01,43.05,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:52:03Z,celmis-qdrant,0.02,246.5,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:52:09Z,celmis-api,100.50,546.1,6928.38,7.88,69.2,8.38,26.6,290.0,16
2026-08-20T22:52:09Z,celmis-postgres,1.42,31.77,6928.38,0.46,6.2,5.63,5.05,32.5,11
2026-08-20T22:52:09Z,celmis-web,0.00,83.38,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:52:09Z,celmis-sandbox,13.29,43.01,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:52:09Z,celmis-qdrant,0.02,246.5,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:52:14Z,celmis-api,102.69,713.2,6928.38,10.29,69.2,8.38,26.7,290.0,39
2026-08-20T22:52:14Z,celmis-postgres,1.32,31.56,6928.38,0.46,6.2,5.64,5.05,32.5,11
2026-08-20T22:52:14Z,celmis-web,0.00,83.38,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:52:14Z,celmis-sandbox,0.01,42.98,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:52:14Z,celmis-qdrant,0.02,246.5,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:52:19Z,celmis-api,1.85,590.5,6928.38,8.52,69.2,8.39,26.7,305.0,16
2026-08-20T22:52:19Z,celmis-postgres,1.06,31.51,6928.38,0.45,6.21,5.64,5.05,32.5,11
2026-08-20T22:52:19Z,celmis-web,0.01,83.19,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:52:19Z,celmis-sandbox,0.02,42.98,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:52:19Z,celmis-qdrant,0.05,246.6,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:52:25Z,celmis-api,0.64,516.2,6928.38,7.45,69.2,8.4,26.7,305.0,16
2026-08-20T22:52:25Z,celmis-postgres,0.13,31.51,6928.38,0.45,6.21,5.65,5.05,32.5,11
2026-08-20T22:52:25Z,celmis-web,0.01,83.19,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:52:25Z,celmis-sandbox,0.03,42.98,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:52:25Z,celmis-qdrant,0.09,246.6,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:52:30Z,celmis-api,0.60,516.2,6928.38,7.45,69.2,8.4,26.7,305.0,16
2026-08-20T22:52:30Z,celmis-postgres,0.00,31.55,6928.38,0.46,6.22,5.65,5.05,32.5,11
2026-08-20T22:52:30Z,celmis-web,0.01,83.19,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:52:30Z,celmis-sandbox,0.03,42.98,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:52:30Z,celmis-qdrant,0.93,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,26
2026-08-20T22:52:36Z,celmis-api,0.29,516.2,6928.38,7.45,69.2,8.4,26.7,305.0,16
2026-08-20T22:52:36Z,celmis-postgres,0.06,31.43,6928.38,0.45,6.22,5.65,5.05,32.6,11
2026-08-20T22:52:36Z,celmis-web,0.01,83.46,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:52:36Z,celmis-sandbox,0.03,42.98,3072.0,1.40,0.0,0.0,1.86,0.0,3
2026-08-20T22:52:36Z,celmis-qdrant,0.12,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,26
2026-08-20T22:52:41Z,celmis-api,0.31,516.2,6928.38,7.45,69.2,8.4,26.7,305.0,16
2026-08-20T22:52:41Z,celmis-postgres,0.08,31.74,6928.38,0.46,6.22,5.65,5.05,32.6,11
2026-08-20T22:52:41Z,celmis-web,0.00,83.46,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:52:41Z,celmis-sandbox,0.03,43.35,3072.0,1.41,0.0,0.0,1.86,0.0,3
2026-08-20T22:52:41Z,celmis-qdrant,0.14,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T22:52:47Z,celmis-api,0.34,516.3,6928.38,7.45,69.2,8.4,26.7,305.0,16
2026-08-20T22:52:47Z,celmis-postgres,0.01,31.86,6928.38,0.46,6.22,5.65,5.05,32.6,11
2026-08-20T22:52:47Z,celmis-web,2.22,83.11,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:52:47Z,celmis-sandbox,0.04,43.35,3072.0,1.41,0.0,0.0,1.86,0.0,3
2026-08-20T22:52:47Z,celmis-qdrant,0.10,246.4,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:52:53Z,celmis-api,0.28,516.3,6928.38,7.45,69.2,8.4,26.7,308.0,16
2026-08-20T22:52:53Z,celmis-postgres,0.02,31.52,6928.38,0.45,6.22,5.65,5.05,32.6,11
2026-08-20T22:52:53Z,celmis-web,0.01,82.96,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:52:53Z,celmis-sandbox,0.02,43.35,3072.0,1.41,0.0,0.0,1.86,0.0,3
2026-08-20T22:52:53Z,celmis-qdrant,0.14,246.4,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:52:58Z,celmis-api,0.30,516.2,6928.38,7.45,69.2,8.41,26.7,308.0,16
2026-08-20T22:52:58Z,celmis-postgres,0.01,31.43,6928.38,0.45,6.22,5.66,5.05,32.6,11
2026-08-20T22:52:58Z,celmis-web,0.01,82.96,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:52:58Z,celmis-sandbox,0.04,43.35,3072.0,1.41,0.0,0.0,1.86,0.0,3
2026-08-20T22:52:58Z,celmis-qdrant,0.12,246.4,6928.38,3.56,0.04,0.02,71.5,0.01,25
2026-08-20T22:53:04Z,celmis-api,0.32,516.1,6928.38,7.45,69.2,8.41,26.7,308.0,16
2026-08-20T22:53:04Z,celmis-postgres,0.04,31.41,6928.38,0.45,6.22,5.66,5.05,32.6,11
2026-08-20T22:53:04Z,celmis-web,0.01,83.39,6928.38,1.20,0.56,0.68,15.0,0.0,12
2026-08-20T22:53:04Z,celmis-sandbox,0.03,43.35,3072.0,1.41,0.0,0.0,1.86,0.0,3
2026-08-20T22:53:04Z,celmis-qdrant,0.14,246.3,6928.38,3.55,0.04,0.02,71.5,0.01,25
2026-08-20T22:53:09Z,celmis-api,0.25,516.1,6928.38,7.45,69.2,8.41,26.7,308.0,16
2026-08-20T22:53:09Z,celmis-postgres,1.53,31.97,6928.38,0.46,6.23,5.66,5.05,32.6,11
